Title;GGS Rating
EMPIRICAL METHODS IN NATURAL LANGUAGE PROCESSING;A+
INTERNATIONAL CONFERENCE ON EVOLUTIONARY MULTI-CRITERION OPTIMIZATION;A-
INTERNATIONAL CONFERENCE ON ENERGY MANAGEMENT AND POWER DELIVERY;Work in Progress
EMS NETWORK CONFERENCE;Work in Progress
ACM CONFERENCE ON EMBEDDED SOFTWARE;Not Rated  (now published as journal)
INTERNATIONAL CONFERENCE ON EVALUATION OF NOVEL APPROACHES TO SOFTWARE ENGINEERING;Work in Progress
MEXICAN INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE;Work in Progress
IEEE INTERNATIONAL ENERGY CONFERENCE;Work in Progress
IEEE ENERGYTECH;Work in Progress
INFORMATION AND COMMUNICATION TECHNOLOGIES IN TOURISM;Work in Progress
INTERNATIONAL WORKSHOP ON ENTERPRISE AND ORGANIZATIONAL MODELLING AND SIMULATION;Work in Progress
ELECTRICAL OVERSTRESS/ELECTROSTATIC DISCHARGE SYMPOSIUM;Work in Progress
EUROPEAN CONFERENCE ON POWER ELECTRONICS AND APPLICATIONS;Work in Progress
ELECTRICAL POWER AND ENERGY CONFERENCE;Work in Progress
ELECTRICAL PERFORMANCE OF ELECTRONIC PACKAGING;Work in Progress
PORTUGUESE CONFERENCE ON ARTIFICIAL INTELLIGENCE;Work in Progress
ELECTRONICS PACKAGING TECHNOLOGY CONFERENCE;Work in Progress
EUROPEAN MPI USERS GROUP CONFERENCE;Work in Progress
EUROPEAN QUANTUM ELECTRONICS CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON CONCEPTUAL MODELING;B
INTERNATIONAL CONFERENCE ON ENTITY-RELATIONSHIP APPROACH;Work in Progress
ERCIM ANNUAL WORKSHOP ON CONSTRAINT SOLVING AND CONSTRAINT LOGIC PROGRAMMING;Work in Progress
EUROPEAN SYMPOSIUM ON ALGORITHMS;A-
EXPLOITING SEMANTIC ANNOTATIONS IN INFORMATION RETRIEVAL;Work in Progress
EUROPEAN SYMPOSIUM ON ARTIFICIAL NEURAL NETWORKS;B
ELECTRICAL SYSTEMS FOR AIRCRAFT, RAILWAY AND SHIP PROPULSION;Work in Progress
EUROMICRO INTERNATIONAL CONFERENCE ON SOFTWARE ENGINEERING AND APPLICATIONS;Work in Progress
EUROPEAN SOFTWARE ENGINEERING CONFERENCE;Work in Progress
ACM SIGSOFT CONFERENCE ON THE FOUNDATIONS OF SOFTWARE ENGINEERING;A+
INTERNATIONAL SYMPOSIUM ON EMPIRICAL SOFTWARE ENGINEERING AND MEASUREMENT;A-
EUROPEAN CONFERENCE ON SERVICE-ORIENTED AND CLOUD COMPUTING;Work in Progress
EUROPEAN SYMPOSIUM ON PROGRAMMING;A
EUROPEAN SYMPOSIUM ON RESEARCH IN COMPUTER SECURITY;A+
EUROPEAN CONFERENCE ON SOFTWARE PROCESS IMPROVEMENT;Work in Progress
EUROPEAN SOLID-STATE CIRCUITS CONFERENCE;B
EUROPEAN SOLID-STATE DEVICE RESEARCH CONFERENCE;Work in Progress
ACM WORKSHOP ON EMBEDDED SENSING SYSTEMS FOR ENERGY-EFFICIENCY IN BUILDINGS;Work in Progress
ENGINEERING SECURE SOFTWARE AND SYSTEMS;Work in Progress
ELECTRONICS SYSTEM-INTEGRATION TECHNOLOGY CONFERENCE;Work in Progress
EMBEDDED SYSTEMS FOR REAL-TIME MULTIMEDIA;Work in Progress
ELECTRIC SHIP TECHNOLOGIES SYMPOSIUM;Work in Progress
EUROPEAN SEMANTIC WEB CONFERENCE;A-
INTERNATIONAL WORKSHOP ON EDUCATION TECHNOLOGY AND COMPUTER SCIENCE;Work in Progress
INTERNATIONAL CONFERENCE ON EMERGING TRENDS IN ELECTRICAL AND COMPUTER TECHNOLOGY;Work in Progress
EMERGING TECHNOLOGIES AND FACTORY AUTOMATION;B
ETHICOMP CONFERENCE;Work in Progress
EYE TRACKING RESEARCH AND APPLICATIONS;B
EUROPEAN TEST SYMPOSIUM;Work in Progress
ECLIPSE TECHNOLOGY EXCHANGE;Work in Progress
EMBEDDED AND UBIQUITOUS COMPUTING;Work in Progress
EUROPEAN CONFERENCE ON ANTENNAS AND PROPAGATION;Work in Progress
EUROPEAN CONFERENCE ON NETWORKS AND COMMUNICATIONS;Work in Progress
EUROPEAN WORKSHOP ON MULTI-AGENT SYSTEMS;Work in Progress
EUROPEAN MICROWAVE CONFERENCE;Work in Progress
EUROPEAN RADAR CONFERENCE;Work in Progress
EUROPEAN CONFERENCE ON OPERATIONS RESEARCH;Work in Progress
EUROPEAN DESIGN AUTOMATION CONFERENCE;Work in Progress
EUROPEAN CONFERENCE ON PARALLEL COMPUTING;B
COMPUTER AIDED SYSTEMS THEORY;Work in Progress
EUROPEAN WORKSHOP ON COMPUTATIONAL GEOMETRY;Work in Progress
EUROPEAN CONFERENCE ON COMPUTATIONAL LEARNING THEORY;Work in Progress
CONFERENCE ON COMPUTER AS A TOOL;Work in Progress
INTERNATIONAL CONFERENCE ON THE THEORY AND APPLICATION OF CRYPTOGRAPHIC TECHNIQUES;A++
EUROPEAN CONFERENCE ON GENETIC PROGRAMMING;B
EUROGRAPHICS;Not Rated (now published as journal)
INTERNATIONAL CONFERENCE ON HUMAN HAPTIC SENSING AND TOUCH ENABLED COMPUTER APPLICATIONS;Work in Progress
EUROPEAN CONFERENCE ON INTERACTIVE TV;Work in Progress
EUROPEAN NATURAL LANGUAGE GENERATION WORKSHOP;Work in Progress
EUROPEAN PUBLIC KEY INFRASTRUCTURE WORKSHOP;Work in Progress
EUROPEAN CONFERENCE ON PATTERN LANGUAGES OF PROGRAMS;Work in Progress
IEEE EUROPEAN SYMPOSIUM ON SECURITY AND PRIVACY;Work in Progress
EUROPEAN WORKSHOP ON SYSTEM SECURITY;Work in Progress
INTERNATIONAL CONFERENCE ON THERMAL, MECHANICAL AND MULTI-PHYSICS SIMULATION AND EXPERIMENTS IN MICROELECTRONICS AND MICROSYSTEMS;Work in Progress
EUROPEAN CONFERENCE ON SMART SENSING AND CONTEXT;Work in Progress
EUROPEAN CONFERENCE ON COMPUTER SYSTEMS;A+
EUROGRAPHICS/IEEE SYMPOSIUM ON VISUALIZATION;B
CONFERENCE OF THE EUROPEAN SOCIETY FOR FUZZY LOGIC AND TECHNOLOGIES;Work in Progress
EUROPEAN SIGNAL PROCESSING CONFERENCE;B
INTERNATIONAL CONFERENCE ON EMERGING UBIQUITOUS SYSTEMS AND PERVASIVE NETWORKS;Work in Progress
EUROCONFERENCE ON COMBINATORICS, GRAPH THEORY AND APPLICATIONS;Work in Progress
EUROPEAN CONFERENCE ON EVOLUTIONARY COMPUTATION, MACHINE LEARNING AND DATA MINING IN COMPUTATIONAL BIOLOGY;Work in Progress
CONFERENCE ON ELECTRONIC VOTING TECHNOLOGY/WORKSHOP ON TRUSTWORTHY ELECTIONS;Work in Progress
EUROPEAN WIRELESS CONFERENCE;Work in Progress
EVOWORKSHOPS ON APPLICATIONS OF EVOLUTIONARY COMPUTING;Work in Progress
EUROMICRO WORKSHOP ON PARALLEL AND DISTRIBUTED PROCESSING;Work in Progress
EUROPEAN CONFERENCE ON WIRELESS SENSOR NETWORKS;A-
EURO VIRTUAL REALITY;Work in Progress
VISUAL ANALYTICS;Work in Progress
INTERNATIONAL CONFERENCE ON FOUNDATIONS OF AUGMENTED COGNITION;Work in Progress
FUNDAMENTAL APPROACHES TO SOFTWARE ENGINEERING;B
CONFERENCE ON FILE AND STORAGE TECHNOLOGIES;A+
INTERNATIONAL FRONTIERS OF ALGORITHMICS WORKSHOP;Work in Progress
FINANCIAL CRYPTOGRAPHY;A
FIELD-PROGRAMMABLE CUSTOM COMPUTING MACHINES;A-
ANNUAL SYMPOSIUM ON FREQUENCY CONTROL;Work in Progress
INTERNATIONAL SYMPOSIUM ON FUNDAMENTALS OF COMPUTATION THEORY;B-
FOUNDATIONS OF DIGITAL GAMES;Work in Progress
FORUM ON SPECIFICATION AND DESIGN LANGUAGES;Work in Progress
WORKSHOP ON FAULT DIAGNOSIS AND TOLERANCE IN CRYPTOGRAPHY;B-
FEDERATED CONFERENCE ON COMPUTER SCIENCE AND INFORMATION SYSTEMS;B-
INTERNATIONAL CONFERENCE ON FUTURE ENERGY SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON FUTURE GENERATION COMMUNICATION AND NETWORKING;Work in Progress
FRONTIERS IN EDUCATION;B-
INTERNATIONAL CONFERENCE ON FUNCTIONAL IMAGING AND MODELING OF HEART;Work in Progress
FRONTIERS OF INFORMATION TECHNOLOGY;Work in Progress
THE FLORIDA AI RESEARCH SOCIETY;B-
INTERNATIONAL FLINS CONFERENCE ON ROBOTICS AND ARTIFICIAL INTELLIGENCE (WAS INTERNATIONAL FUZZY LOGIC AND INTELLIGENT TECHNOLOGIES IN NUCLEAR SCIENCE CONFERENCE);Work in Progress
INTERNATIONAL SYMPOSIUM ON FUNCTIONAL AND LOGIC PROGRAMMING;Work in Progress
FORMAL METHODS;A
FORMAL METHODS IN COMPUTER-AIDED DESIGN;B
FORMAL METHODS FOR INDUSTRIAL CRITICAL SYSTEMS;Work in Progress
INTERNATIONAL WORKSHOP ON FORMAL METHODS FOR INTERACTIVE SYSTEMS;Work in Progress
FORMAL METHODS FOR OPEN OBJECT-BASED DISTRIBUTED SYSTEMS;B-
FORMAL METHODS IN SECURITY ENGINEERING;Work in Progress
THE INTERNATIONAL CONFERENCE ON FUTURE NETWORKS AND COMMUNICATIONS;Work in Progress
FUTURE NETWORK & MOBILE SUMMIT;Work in Progress
FOUNDATIONS OF ASPECT-ORIENTED LANGUAGES WORKSHOP;Work in Progress
FOUNDATIONS OF COMPUTATIONAL INTELLIGENCE;Work in Progress
IEEE SYMPOSIUM ON FOUNDATIONS OF COMPUTER SCIENCE;A++
FOUNDATIONS OF GENETIC ALGORITHMS;B
FOUNDATIONS OF INFORMATION AND KNOWLEDGE SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON FORMAL ONTOLOGY IN INFORMATION SYSTEMS;B-
FOUNDATIONS OF MOBILE COMPUTING;Work in Progress
FORMAL ONTOLOGIES MEET INDUSTRY;Work in Progress
FORMAL MODELING AND ANALYSIS OF TIMED SYSTEMS;Work in Progress
FOUNDATIONS OF SOFTWARE SCIENCE AND COMPUTATION STRUCTURE;B
ACM/SIGDA INTERNATIONAL SYMPOSIUM ON FIELD-PROGRAMMABLE GATE ARRAYS;A
FIELD-PROGRAMMABLE LOGIC AND APPLICATIONS;B
FIELD-PROGRAMMABLE TECHNOLOGY;Work in Progress
FLEXIBLE QUERY ANSWERING SYSTEMS;Work in Progress
FRONTIERS OF COMBINING SYSTEMS;Work in Progress
IEEE CONFERENCE OF THE OPEN INNOVATIONS ASSOCIATION FRUCT;Work in Progress
INTERNATIONAL CONFERENCE ON FORMAL STRUCTURES FOR COMPUTATION AND DEDUCTION;Work in Progress
FAST SOFTWARE ENCRYPTION WORKSHOP;A-
FUZZY SYSTEMS AND KNOWLEDGE DISCOVERY;Work in Progress
FIELD AND SERVICE ROBOTICS;Work in Progress
FOUNDATIONS OF SOFTWARE TECHNOLOGY AND THEORETICAL COMPUTER SCIENCE;B
IEEE COMPUTER SOCIETY WORKSHOP ON FUTURE TRENDS OF DISTRIBUTED COMPUTING SYSTEMS;Work in Progress
SYMPOSIUM ON FUSION TECHNOLOGY;Work in Progress
WORKSHOP ON FORMAL TECHNIQUES FOR JAVA-LIKE PROGRAMS;Work in Progress
INTERNATIONAL CONFERENCE ON FUEL CELL SCIENCE, ENGINEERING AND TECHNOLOGY, FUELCELL COLLOCATED WITH ASME INTERNATIONAL CONFERENCE ON ENERGY SUSTAINABILITY;Work in Progress
CONFERENCE ON FUN WITH ALGORITHMS;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION FUSION;B-
IEEE INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS;B
IEEE GALLIUM ARSENIDE INTEGRATED CIRCUIT SYMPOSIUM;Work in Progress
DECISION AND GAME THEORY FOR SECURITY;Work in Progress
GERMAN CONFERENCE ON BIOINFORMATICS;Work in Progress
GRID AND COOPERATIVE COMPUTING;Work in Progress
GRID COMPUTING ENVIRONMENTS;Work in Progress
GERMAN CONFERENCE ON PATTERN RECOGNITION;Work in Progress
GRAPH DRAWING;B
INTERNATIONAL CONFERENCE OF SOCIETY FOR GROUP DECISION AND NEGOTIATION;Work in Progress
GENETIC AND EVOLUTIONARY COMPUTATION CONFERENCE;A
GRID ECONOMICS AND BUSINESS MODELS;Work in Progress
INTERNATIONAL WORKSHOP ON GENETIC AND EVOLVING FUZZY SYSTEMS;Work in Progress
GERMAN MICROWAVE CONFERENCE;Work in Progress
IEEE INTERNATIONAL WORKSHOP ON GENOMIC SIGNAL PROCESSING AND STATISTICS;Work in Progress
INTERNATIONAL CONFERENCE ON GEOINFORMATICS;Work in Progress
INTERNATIONAL CONFERENCE ON GROUP IV PHOTONICS;Work in Progress
INTERNATIONAL WORKSHOP ON GRAPH-GRAMMARS AND THEIR APPLICATION TO COMPUTER SCIENCE;Work in Progress
GLOBAL HUMANITARIAN TECHNOLOGY CONFERENCE;Work in Progress
GRAPHICS INTERFACE;A-
GLOBAL INFORMATION INFRASTRUCTURE AND NETWORKING SYMPOSIUM;Work in Progress
GEOGRAPHIC INFORMATION RETRIEVAL;Work in Progress
GEOGRAPHIC INFORMATION SCIENCE;Work in Progress
IEEE GLOBAL CONFERENCE ON SIGNAL AND INFORMATION PROCESSING;Work in Progress
IEEE GLOBAL TELECOMMUNICATIONS CONFERENCE;A-
ACM GREAT LAKES SYMPOSIUM ON VLSI;B
GEOMETRIC MODELING AND PROCESSING;Work in Progress
ADVANCES IN GRID AND PERVASIVE COMPUTING;B-
INTERNATIONAL CONFERENCE ON GENERATIVE PROGRAMMING AND COMPONENT ENGINEERING;A-
GENERAL PURPOSE PROCESSING ON GRAPHICS PROCESSING UNITS;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER GRAPHICS THEORY AND APPLICATIONS;Work in Progress
GRANULAR COMPUTING;Work in Progress
GRAPHICS RECOGNITION;Work in Progress
GREEN COMPUTING AND COMMUNICATIONS;Work in Progress
GREEN TECHNOLOGIES CONFERENCE;Work in Progress
GRID COMPUTING;A-
INTERNATIONAL CONFERENCE ON SUPPORTING GROUP WORK;A-
INTERNATIONAL CONFERENCE ON GAME THEORY FOR NETWORKS;Work in Progress
INTERNATIONAL WORDNET CONFERENCE (GLOBAL WORDNET CONFERENCE);Work in Progress
SIMPÓSIO BRASILEIRO DE GEOINFORMÁTICA;Work in Progress
CONFERENCE ON DATA MANAGEMENT IN GRID AND P2P SYSTEMS;Work in Progress
WORKSHOP ON APPLICATIONS OF GRAPH THEORY IN WIRELESS AD HOC NETWORKS AND SENSOR NETWORKS;Work in Progress
IEEE INTERNATIONAL WORKSHOP ON HAPTIC AUDIO VISUAL ENVIRONMENTS AND GAMES;Work in Progress
HUMAN-AGENT INTERACTION;Work in Progress
INTERNATIONAL CONFERENCE ON HYBRID ARTIFICIAL INTELLIGENCE SYSTEMS;Work in Progress
IEEE HAPTICS SYMPOSIUM;B
IEEE INTERNATIONAL SYMPOSIUM ON HIGH ASSURANCE SYSTEMS ENGINEERING;B-
HASKELL WORKSHOP;B-
HUMANS AND COMPUTERS;Work in Progress
IEEE SYMPOSIA ON HUMAN-CENTRIC COMPUTING LANGUAGES AND ENVIRONMENTS;Work in Progress
AAAI CONFERENCE ON HUMAN COMPUTATION AND CROWDSOURCING;Work in Progress
IEEE HOT CHIPS SYMPOSIUM;Work in Progress
HETEROGENEITY IN COMPUTING WORKSHOP;Work in Progress
HCIST - INTERNATIONAL CONFERENCE ON HEALTH AND SOCIAL CARE INFORMATION SYSTEMS AND TECHNOLOGIES;Work in Progress
"IEEE INTERNATIONAL CONFERENCE ON EHEALTH NETWORKING APPLICATIONS AND SERVICES (WAS INTERNATIONAL WORKSHOP ON ENTERPRISE NETWORKING AND COMPUTING IN HEALTH CARE INDUSTRY; CHANGED 2006)";Work in Progress
INTERNATIONAL CONFERENCE ON HEALTH INFORMATICS;Work in Progress
HEALTH INFORMATICS CONFERENCE;Work in Progress
ANNUAL HAWAII INTERNATIONAL CONFERENCE ON SYSTEM SCIENCES;A
IEEE INTERNATIONAL WORKSHOP ON HORIZONTAL INTERACTIVE HUMAN-COMPUTER SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING;B
HIGH PERFORMANCE EMBEDDED ARCHITECTURES AND COMPILERS;Work in Progress
INTERNATIONAL WORKSHOP ON HIGH-LEVEL PARALLEL PROGRAMMING MODELS AND SUPPORTIVE ENVIRONMENTS;Work in Progress
INTERNATIONAL CONFERENCE ON HYBRID INTELLIGENT SYSTEMS;Work in Progress
HIGH LEVEL DESIGN VALIDATION AND TEST;Work in Progress
INTERNATIONAL WORKSHOP ON HIGH-LEVEL PARALLEL PROGRAMMING AND APPLICATIONS;Work in Progress
HUMAN LANGUAGE TECHNOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON HUMAN LANGUAGE TECHNOLOGY RESEARCH;Work in Progress
INTERNATIONAL WORKSHOP ON HYBRID METAHEURISTICS;Work in Progress
HOLM CONFERENCE ON ELECTRICAL CONTACTS;Work in Progress
ACM SIGPLAN CONFERENCE ON HISTORY OF PROGRAMMING LANGUAGES;Work in Progress
HARDWARE-ORIENTED SECURITY AND TRUST;B
USENIX CONFERENCE ON HOT TOPICS IN CLOUD CCOMPUTING;Work in Progress
HOT TOPICS IN SYSTEM DEPENDABILITY;Work in Progress
IEEE SYMPOSIUM ON HIGH-PERFORMANCE INTERCONNECTS;A-
WORKSHOP ON MOBILE COMPUTING SYSTEMS AND APPLICATIONS;A-
ACM WORKSHOP ON HOT TOPICS IN NETWORKS;A-
USENIX WORKSHOP ON HOT TOPICS IN OPERATING SYSTEMS;B
USENIX CONFERENCE ON HOT TOPICS IN PARALLELISM;Work in Progress
WORKSHOP ON POWER AWARE COMPUTING AND SYSTEMS;Not Rated (discontinued event)
USENIX CONFERENCE ON HOT TOPICS IN SECURITY;Work in Progress
USENIX CONFERENCE ON HOT TOPICS IN STORAGE AND FILE SYSTEMS;Work in Progress
IEEE WORKSHOP ON HOT TOPICS IN WEB SYSTEMS AND TECHNOLOGIES;Work in Progress
INTERNATIONAL CONFERENCE AND EXHIBITION ON HIGH PERFORMANCE COMPUTING IN THE ASIA-PACIFIC REGION;Work in Progress
HIGH-PERFORMANCE COMPUTER ARCHITECTURE;A+
HIGH PERFORMANCE COMPUTING AND COMMUNICATIONS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING AND SIMULATION;B-
ACM INTERNATIONAL SYMPOSIUM ON HIGH PERFORMANCE DISTRIBUTED COMPUTING;A
IEEE HIGH PERFORMANCE EXTREME COMPUTING CONFERENCE;Work in Progress
HIGH PERFORMANCE GRAPHICS;Work in Progress
INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE SCIENTIFIC COMPUTING;Work in Progress
HIGH PERFORMANCE SWITCHING AND ROUTING;Work in Progress
HUMAN-ROBOT INTERACTION;A
ACM INTERNATIONAL CONFERENCE HYBRID SYSTEMS: COMPUTATION AND CONTROL;Work in Progress
HUMAN SYSTEM INTERACTION;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON TECHNOLOGIES FOR HOMELAND SECURITY;Work in Progress
IEEE RAS INTERNATIONAL CONFERENCE ON HUMANOIDS ROBOTS;B
HAIFA VERIFICATION CONFERENCE;Work in Progress
HUMAN VISION AND ELECTRONIC IMAGING CONFERENCE;Work in Progress
SIGGRAPH/EUROGRAPHICS CONFERENCE ON GRAPHICS HARDWARE;Work in Progress
ACM CONFERENCE ON HYPERTEXT;B
HOLONIC AND MULTI-AGENT SYSTEMS FOR MANUFACTURING;Work in Progress
IEEE/IAS INDUSTRIAL AND COMMERCIAL POWER SYSTEMS TECHNICAL CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON KNOWLEDGE MANAGEMENT AND KNOWLEDGE TECHNOLOGIES;Work in Progress
INTERNATIONAL CONFERENCE ON SEMANTIC SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON INFORMATION SOCIETY;Work in Progress
INTERNATIONAL SYMPOSIUM ON PARALLEL ARCHITECTURES, ALGORITHMS AND NETWORKS;B-
ACM SYMPOSIUM ON INTERACTIVE 3D GRAPHICS AND GAMES;A
IFIP CONFERENCE ON E-COMMERCE E-BUSINESS AND E-GOVERNMENT;Work in Progress
INTERNATIONAL CONFERENCE ON INNOVATIONS FOR COMMUNITY SERVICES (WAS INNOVATIVE INTERNET COMPUTER SYSTEMS IICS UNTIL 2014);Work in Progress
INTELLIGENT AGENTS;Work in Progress
CONFERENCE ON INNOVATIVE APPLICATIONS IN ARTIFICIAL INTELLIGENCE;B-
IEEE INTERNATIONAL ADVANCE COMPUTING CONFERENCE;Work in Progress
IADIS INTERNATIONAL CONFERENCE APPLIED COMPUTING;Work in Progress
INTERNATIONAL CONFERENCE ON INDUSTRIAL APPLICATIONS OF HOLONIC AND MULTI-AGENT SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON ADVANCES IN INFORMATION TECHNOLOGY;Work in Progress
IEEE INDUSTRY APPLICATIONS SOCIETY ANNUAL CONFERENCE;A-
IASTED INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS AND CONTROL;Work in Progress
ACM INTERNATIONAL CONFERENCE ON INTELLIGENT AGENT TECHNOLOGY;B
INTERNATIONAL CONFERENCE ON INTELLIGENT AGENTS, WEB TECHNOLOGIES, AND INTERNET COMMERCE;Work in Progress
IBERO-AMERICAN ARTIFICIAL INTELLIGENCE CONFERENCE;Work in Progress
INTERNATIONAL CONFERENCE ON INNOVATIONS IN BIO-INSPIRED COMPUTING AND APPLICATIONS;Work in Progress
IBERIAN CONFERENCE ON PATTERN RECOGNITION AND IMAGE ANALYSIS;Work in Progress
INTERNATIONAL CONFERENCE ON INTERNET COMPUTING;Work in Progress
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE;Work in Progress
INTERNATIONAL CONFERENCE ON CONTEMPORARY COMPUTING;Work in Progress
INTERNATIONAL JOINT CONFERENCE ON KNOWLEDGE DISCOVERY, KNOWLEDGE ENGINEERING AND KNOWLEDGE MANAGEMENT;Work in Progress
INTERNATIONAL CONFERENCE ON ALGORITHMS AND ARCHITECTURES FOR PARALLEL PROCESSING;Work in Progress
INTERNATIONAL CONFERENCE ON AGENTS AND ARTIFICIAL INTELLIGENCE;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON AUTONOMIC COMPUTING;B
INTERNATIONAL CONFERENCE ON ADVANCED COMPUTER SCIENCE AND INFORMATION SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON ADVANCED COMMUNICATION TECHNOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON ADVANCED COMPUTER THEORY AND ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON AUDITORY DISPLAY;Work in Progress
INTERNATIONAL CONFERENCE ON ASIAN DIGITAL LIBRARIES;Work in Progress
IEEE-INTERNATIONAL CONFERENCE ON ADVANCES IN ENGINEERING, SCIENCE AND MANAGEMENT;Work in Progress
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND LAW;B-
INTERNATIONAL CONFERENCE ON ADAPTIVE AND INTELLIGENT SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING;Work in Progress
INTERNATIONAL CONFERENCE ON AUTOMATION AND LOGISTICS;Work in Progress
INTERNATIONAL CONFERENCE ON AUDIO, LANGUAGE AND IMAGE PROCESSING;Work in Progress
INTERNATIONAL COLLOQUIUM ON AUTOMATA LANGUAGES AND PROGRAMMING;A
IEEE INTERNATIONAL CONFERENCE ON ADVANCED LEARNING TECHNOLOGIES;B
INTERNATIONAL CONFERENCE ON ARTIFICIAL NEURAL NETWORKS;B-
INTERNATIONAL CONFERENCE ON ADAPTIVE AND NATURAL COMPUTING ALGORITHMS;Work in Progress
INTERNATIONAL CONFERENCE ON ADVANCES IN PATTERN RECOGNITION;Work in Progress
INTERNATIONAL CONFERENCE ON AUTOMATED PLANNING AND SCHEDULING;A
INTERNATIONAL CONFERENCE ON ADVANCED ROBOTICS;B-
INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION, ROBOTICS AND VISION;Work in Progress
INTERNATIONAL CONFERENCE ON ARTIFICIAL IMMUNE SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON AUTONOMIC AND AUTONOMOUS SYSTEMS;Work in Progress
AGILE CONFERENCE;B
INTERNATIONAL CONFERENCE ON INDEPENDENT COMPONENT ANALYSIS AND SIGNAL SEPARATION;Work in Progress
INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING;A
INTERNATIONAL CONFERENCE ON ARTIFICIAL REALITY AND TELEXISTENCE;Work in Progress
APPLICATIONS AND THEORY OF PETRI NETS;B
INTERNATIONAL CONFERENCE ON BIOMETRICS;B
INTERNATIONAL CONFERENCE ON BIOINFORMATICS AND BIOMEDICAL ENGINEERING;Work in Progress
IEEE-EMBS INTERNATIONAL CONFERENCE ON BIOMEDICAL AND HEALTH INFORMATICS;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON COMMUNICATIONS;A
INTERNATIONAL CONFERENCE ON CONTROL AND AUTOMATION;Work in Progress
IEEE INTERNATIONAL CONFERENCE ON COMPUTATIONAL ADVANCES IN BIO AND MEDICAL SCIENCES;Work in Progress
IEEE/ACM INTERNATIONAL CONFERENCE ON COMPUTER-AIDED DESIGN;A
INTERNATIONAL CONFERENCE ON COMPUTER AND AUTOMATION ENGINEERING;Work in Progress
INTERNATIONAL CONGRESS ON COMPUTATIONAL AND APPLIED MATHEMATICS;Work in Progress
INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION AND SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER APPLICATION AND SYSTEM MODELING;Work in Progress
INTERNATIONAL CONFERENCE ON CASE-BASED REASONING;B-
IEEE INTERNATIONAL CONFERENCE COMPUTER AND COMMUNICATIONS;B-
INTERNATIONAL CONFERENCE ON COMPUTING, COMMUNICATION AND AUTOMATION;Work in Progress
INTERNATIONAL CONFERENCE ON COMMUNICATIONS, CIRCUITS AND SYSTEMS;Work in Progress
INTERNATIONAL COLLOQUIUM ON COMPUTING, COMMUNICATION, CONTROL, AND MANAGEMENT;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER AND COMMUNICATION ENGINEERING;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTATIONAL COLLECTIVE INTELLIGENCE;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER COMMUNICATIONS AND NETWORKS;B
INTERNATIONAL CONFERENCE ON COMPUTING, COMMUNICATION AND NETWORKING TECHNOLOGIES;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER AND COMMUNICATION TECHNOLOGY;Work in Progress
INTERNATIONAL CONFERENCE ON COMPUTER DESIGN;A-
INTERNATIONAL CONFERENCE ON COMPUTERS IN EDUCATION;Work in Progress
INTERNATIONAL CONFERENCE ON CONSUMER ELECTRONICS - BERLIN;Work in Progress
INTERNATIONAL CONFERENCE ON CLEAN ELECTRICAL POWER;Work in Progress
INTERNATIONAL CONFERENCE ON COMMUNICATION AND ELECTRONICS SYSTEMS;Work in Progress
INTERNATIONAL CONFERENCE ON CLOUD AND GREEN COMPUTING;Work in Progress
INTERNATIONAL MULTI-CONFERENCE ON COMPUTING IN GLOBAL INFORMATION TECHNOLOGY;Work in Progress
